0	0	0	0	-34
0	2	17	0	-6
0	2	18	20	-20
5	2	30	16	-30
10	2	45	6	-34
10	1	62	17	-36
15	1	80	8	-28
15	1	94	14	-20
20	2	104	12	-4
20	2	106	19	-16
20	1	114	16	-14
20	1	121	20	10
20	0	116	14	-6
20	0	119	20	-18
20	0	128	15	-4
20	1	130	13	16
20	2	122	20	-14
20	2	129	18	-28
20	2	143	18	-36
20	1	161	11	24
20	2	149	13	-44
20	2	171	15	0
20	0	171	11	-16
20	1	179	11	-14
20	0	186	14	-4
20	0	188	20	-18
20	0	197	13	-12
20	2	203	15	2
20	1	202	13	20
20	1	192	13	8
20	1	188	15	24
20	1	176	14	14
20	1	169	19	-68
20	1	203	17	178
20	1	114	20	-102
21	1	165	22	46
21	1	142	27	34
21	0	125	31	-58
21	1	154	30	130
16	1	89	27	-56
21	1	117	40	-48
22	1	141	46	66
22	1	108	53	64
13	2	58	76	-44
13	1	65	98	-34
19	0	71	115	-32
14	0	60	131	-34
9	0	40	148	-12
9	0	33	154	-58
9	2	24	183	14
9	2	22	176	6
4	2	12	173	14
4	2	18	166	24
4	1	19	154	-52
4	2	17	180	54
4	2	17	153	-14
4	1	14	160	-20
4	2	16	170	-22
4	2	20	181	-10
9	2	25	186	114
4	2	17	129	-10
9	1	22	134	26
4	2	18	121	12
9	2	31	115	-8
9	1	29	119	16
9	2	22	111	36
8	2	22	93	-48
9	2	23	117	88
8	2	32	73	-28
8	2	33	87	40
12	2	43	67	0
12	0	67	50	-28
16	0	81	37	-28
16	1	95	34	-22
21	1	106	29	-24
20	1	118	19	0
21	1	118	22	-6
20	1	121	19	20
20	1	111	14	24
16	1	99	24	8
16	1	95	25	30
16	1	80	25	4
16	1	78	25	20
11	1	68	37	44
12	1	46	46	-14
7	1	31	53	-30
2	1	14	68	-16
3	2	17	76	-28
3	2	10	90	-24
4	2	11	102	-18
4	2	9	111	6
4	2	20	108	16
3	2	20	100	18
3	2	15	91	8
3	2	15	87	2
3	2	20	86	24
8	1	25	74	16
2	2	20	66	22
7	2	24	55	26
7	2	25	42	-6
11	2	45	37	-18
11	2	54	28	-42
16	2	75	22	-28
15	1	89	20	-18
15	1	98	16	-2
15	1	99	15	-10
20	1	104	18	10
15	1	99	17	2
15	1	98	20	14
15	1	91	13	14
15	1	84	18	22
16	1	73	26	24
11	1	61	28	20
11	1	51	30	-2
11	1	52	36	8
7	1	36	48	-18
7	1	26	57	-36
3	2	12	75	-42
3	2	10	96	-12
4	2	10	102	-26
4	2	15	115	-10
4	2	15	120	-8
4	2	16	124	0
4	2	20	124	-12
4	2	19	130	68
8	1	24	96	18
8	2	32	87	14
8	2	40	80	32
12	2	45	64	26
12	2	51	47	0
11	2	51	37	-22
11	2	62	40	-18
16	2	71	37	-20
16	1	81	28	-18
16	1	90	24	-18
15	1	99	19	-8
21	2	103	21	-42
20	1	124	15	-20
20	1	134	12	-18
20	1	143	19	38
20	2	124	16	-16
20	1	132	18	24
20	1	120	17	10
21	1	115	22	14
21	1	108	26	48
15	1	84	19	2
16	1	83	26	10
16	1	78	25	24
11	1	66	31	12
11	1	60	38	-2
7	1	38	61	-26
3	2	19	74	-30
3	2	16	89	-20
3	2	17	99	-28
4	2	17	113	2
4	2	19	112	-4
4	2	19	114	24
9	2	24	102	24
8	2	25	90	26
8	2	26	77	30
7	2	30	62	26
12	2	41	49	2
12	2	48	42	-38
11	2	67	30	-20
16	1	77	30	-4
16	1	79	23	-4
15	1	81	15	0
15	1	81	17	-10
15	1	86	14	8
15	1	82	17	10
16	1	77	24	30
11	1	62	24	-8
11	1	66	25	30
10	1	51	20	20
11	1	41	27	20
6	1	27	31	-52
2	1	14	57	-14
2	0	13	64	-58
3	2	8	93	-20
4	2	18	103	-30
4	2	15	118	-32
4	2	15	134	-18
9	2	22	143	4
4	2	20	141	14
9	2	26	134	34
9	2	27	117	-16
9	2	22	125	66
8	2	26	92	32
8	2	32	76	32
7	2	33	60	8
7	2	35	56	0
12	2	56	45	-26
12	0	69	43	-24
16	1	81	23	-22
15	1	92	11	-24
20	1	104	11	-22
20	1	115	14	0
20	1	115	19	-2
20	1	116	18	38
16	1	97	22	6
16	1	94	28	28
16	1	80	27	22
11	1	69	28	30
11	1	54	29	0
11	1	54	39	22
7	1	32	43	-2
7	1	26	44	-36
2	2	20	62	-44
3	2	13	84	-20
3	2	14	94	-20
4	2	20	104	2
4	2	14	103	0
4	2	18	103	16
8	2	22	95	20
8	2	24	85	18
8	2	25	76	28
7	2	25	62	6
7	2	34	59	14
12	2	41	52	-16
11	1	60	34	-14
11	1	67	27	-24
15	1	79	14	-8
15	1	83	15	4
15	1	81	20	32
10	1	65	17	-4
11	1	67	27	24
11	1	55	29	20
11	1	45	24	14
6	1	38	24	2
6	1	25	37	-36
2	2	16	55	-12
2	2	12	61	-16
2	2	14	69	-22
3	2	19	80	-10
8	2	22	85	-6
3	2	20	88	-10
3	2	20	93	42
8	1	24	72	14
7	2	22	65	0
2	2	17	65	12
7	0	29	59	16
7	1	29	51	32
6	1	23	35	-2
6	2	36	30	2
6	2	35	32	6
6	2	32	32	-20
11	2	42	28	-28
11	1	56	23	12
10	1	50	12	-4
10	1	52	18	12
10	1	46	20	-2
10	1	47	20	16
6	1	39	24	12
6	1	33	27	12
6	1	27	26	-4
6	1	22	29	-22
1	1	20	40	-12
2	2	12	46	-28
2	0	11	60	-22
3	2	12	71	-28
8	2	22	85	-20
3	2	16	95	2
3	1	15	94	-12
3	2	18	100	-22
4	2	12	111	2
4	2	17	110	20
3	2	20	100	26
3	2	16	87	26
8	2	22	74	16
7	2	24	66	8
7	2	34	62	34
12	1	45	41	-8
12	2	49	47	-26
11	1	62	34	-24
15	1	74	20	-2
15	1	75	12	0
15	1	75	17	4
15	1	73	17	10
11	1	68	24	14
11	1	61	21	16
10	1	53	18	4
10	1	51	19	24
6	1	39	25	22
6	1	27	28	-28
2	1	16	42	-16
2	2	14	50	-24
2	2	15	62	-12
2	2	13	68	-18
3	2	12	77	2
3	2	18	76	-14
3	2	17	83	-4
3	2	19	85	24
3	2	20	73	22
7	2	21	62	-10
2	2	19	67	16
7	2	23	59	26
7	1	40	46	14
6	2	31	39	-10
11	2	44	36	-10
10	1	49	19	-20
11	1	59	22	-14
10	1	66	16	-6
11	1	69	24	2
10	1	68	18	18
10	1	59	17	2
11	1	58	21	6
11	2	55	24	0
11	1	55	24	6
10	1	52	19	20
10	1	42	16	24
6	1	30	24	8
6	1	21	26	-28
1	1	17	40	-36
2	2	14	58	-24
2	2	15	70	-6
3	2	14	73	-6
3	2	17	76	-12
3	2	12	82	-6
3	2	15	85	8
3	2	15	81	14
8	2	21	74	4
3	2	20	72	2
8	2	31	71	28
12	1	45	57	-6
12	2	43	60	12
7	2	32	54	26
12	2	41	41	-24
11	1	53	22	-12
10	1	59	18	-12
10	1	65	15	10
11	1	60	21	10
11	1	55	23	6
11	1	52	27	16
10	1	44	18	6
11	1	41	27	14
6	2	34	31	-26
7	1	32	47	-4
7	2	21	49	-4
2	2	17	51	-2
2	2	18	52	16
7	2	24	44	-4
7	2	24	46	14
6	1	39	33	6
5	1	36	20	-4
6	2	38	21	-8
10	0	42	12	18
6	2	33	21	-16
11	1	41	22	4
5	1	39	16	14
6	1	32	23	8
6	1	28	23	-6
5	1	31	17	2
6	1	30	22	12
6	1	24	21	-14
1	1	19	31	6
1	2	11	28	-34
2	2	15	45	-8
2	2	15	49	-22
2	2	18	60	-4
2	2	17	62	-2
2	2	19	63	16
7	2	23	55	4
2	2	20	53	8
7	2	25	49	12
7	2	27	43	18
6	2	31	34	-20
11	2	44	22	-2
10	1	45	14	-18
10	1	54	19	0
10	1	54	15	22
10	1	43	20	-24
11	1	55	22	12
11	1	49	21	-12
11	1	55	21	36
6	2	37	30	-2
6	1	38	32	6
6	0	30	35	-4
6	1	34	37	12
6	1	31	24	-6
1	1	20	34	-20
2	2	17	44	-10
2	2	16	49	2
7	2	23	48	8
7	2	25	44	4
7	2	21	42	12
6	2	31	36	-10
11	1	41	28	0
11	1	41	27	26
6	1	28	28	2
6	2	24	27	0
6	1	27	27	-4
6	0	29	23	16
6	1	21	21	-12
6	1	24	27	-4
1	2	19	29	-6
1	2	13	32	-8
6	2	21	36	10
6	1	22	31	0
6	1	31	26	2
6	1	27	30	4
6	1	28	28	-8
6	1	21	32	-18
2	0	11	41	-26
2	2	17	54	-18
2	2	16	63	-12
2	2	18	69	-8
3	2	16	73	12
7	1	28	67	4
2	2	16	65	-6
2	2	17	68	-2
7	2	27	69	18
7	2	28	60	20
7	2	26	50	20
6	2	31	40	6
6	2	37	35	-34
11	0	54	29	-22
11	1	65	24	-26
15	1	78	13	-16
15	1	86	14	-12
15	1	92	15	6
15	1	89	15	24
16	1	77	25	20
10	0	67	16	-8
16	1	71	28	14
11	1	64	24	12
11	1	58	21	22
11	1	47	29	18
6	1	38	34	-6
2	2	20	41	-20
2	2	13	51	-18
7	2	21	60	-4
2	2	19	62	-2
2	2	16	63	18
2	2	15	54	-6
7	2	22	57	14
7	1	28	50	6
7	2	26	47	20
6	2	27	37	16
6	2	25	29	6
1	2	20	26	2
6	2	25	22	-22
6	2	36	27	-30
